loc,plot,tree.no,spp1,dbh.in
RF,1,1,AB,19.7
RF,1,2,AB,9
RF,1,3,AB,18.7
RF,1,4,SM,16.6
RF,1,5,SM,4
RF,2,1,AB,24.6
RF,2,2,SM,9.4
RF,3,1,AB,16.5
RF,3,2,SM,15.6
RF,3,3,SM,9.9
RF,3,4,SM,10.6
RF,3,5,SM,9.6
RF,4,1,AB,11.3
RF,5,1,AB,7.4
RF,5,2,AB,10.7
RF,5,3,SM,6.6
RF,5,4,SM,12.5
RF,6,1,AB,2.2
RF,6,2,AB,15.5
RF,6,3,AB,9.5
RF,6,4,SM,4.2
RF,6,5,SM,6.3
RF,6,6,AB,15.2
RF,6,7,SM,9.2
RF,6,8,SM,7.5
RF,7,1,AB,31.3
RF,7,2,SM,13.3
RF,7,3,AB,24.6
RF,7,4,SM,5.2
RF,7,5,SM,5.3
RF,8,1,AB,13.7
RF,8,2,AB,16.3
RF,8,3,SM,16.3
RF,8,4,SM,10
RF,9,1,AB,28
RF,9,2,AB,28.8
RF,9,3,SM,7.8
RF,9,4,SM,5.3
RF,10,1,AB,17.3
RF,10,2,SM,9
RF,10,3,SM,6.9
RF,10,4,SM,5.4
RF,11,1,AB,26
RF,11,2,AB,28.1
RF,11,3,SM,8.3
RF,12,1,AB,29.2
RF,12,2,AB,5.2
RF,12,3,AB,7.6
RF,12,4,SM,5.5
RF,13,1,AB,21.2
RF,13,2,AB,4.2
RF,13,3,SM,4.6
RF,13,4,SM,4.8
RF,13,5,SM,5.1
RF,13,6,AB,24.7
RF,13,7,SM,8.7
RF,13,8,SM,4.7
RF,14,1,AB,9.9
RF,14,2,SM,6.4
RF,14,3,SM,7.3
RF,14,4,SM,4.4
RF,14,5,SM,13.4
RF,14,6,AB,25.1
RF,14,7,SM,6.8
RF,14,8,SM,16.9
RF,15,1,AB,5.8
RF,15,2,SM,15.9
RF,15,3,SM,12.8
RF,16,1,AB,3.7
RF,16,2,SM,12.7
RF,16,3,AB,20.7
RF,16,4,AB,4.5
RF,16,5,SM,14.7
RF,16,6,AB,20.7
FBIC,17,1,BF,8.5
FBIC,18,1,BF,11.2
FBIC,19,1,BF,5.8
FBIC,20,1,BF,10.2
FBIC,21,3,BF,6.7
FBIC,21,4,BF,6.4
FBIC,21,6,BF,4.9
FBIC,21,7,BF,5.7
FBIC,21,8,BF,8.1
FBIC,21,9,BF,15.8
FBIC,21,11,BF,4.8
FBIC,22,1,BF,11.2
FBIC,22,2,BF,12.1
FBIC,22,4,BF,10.5
FBIC,22,6,BF,10.7
FBIC,22,7,BF,10.3
FBIC,22,8,BF,8.5
FBIC,22,9,BF,8.9
FBIC,22,11,BF,8.6
FBIC,22,12,BF,11.5
FBIC,23,1,BF,7.2
FBIC,23,2,BF,7
FBIC,23,4,RM,4.6
FBIC,23,5,BF,6.4
