loc,scientific.name,spp,tree,easting,northing,lat,lon,dbh.in,dwtot.lb
FBIC,Abies balsamea,BF,1,485322,5067280,45.7589223571981,-87.18874110000458,8.5,390.3092587
FBIC,Abies balsamea,BF,2,485339,5067288,45.75899472350894,-87.18852274451372,11.2,622.9287859
FBIC,Abies balsamea,BF,3,485313,5067269,45.75882315851969,-87.18885649433294,5.8,131.576393
FBIC,Abies balsamea,BF,4,485338,5067289,45.759003702968386,-87.18853563354834,10.2,643.7747138
FBIC,Abies balsamea,BF,6,485023,5067441,45.76036504983247,-87.19259083748166,5.4,98.25897458
FBIC,Abies balsamea,BF,7,485049,5067472,45.76064463375037,-87.19225746092593,16,1597.958788
FBIC,Abies balsamea,BF,8,485340,5067303,45.75912975487882,-87.18851034043082,7.2,247.5950019
FBIC,Abies balsamea,BF,9,485277,5067361,45.75965045463867,-87.18932220732327,8.4,404.962156
FBIC,Abies balsamea,BF,10,485170,5067423,45.76020620831508,-87.19070000752987,6.4,202.9786265
FBIC,Abies balsamea,BF,11,485326,5067380,45.759822509785366,-87.18869269905348,4.5,61.39310606
FBIC,Abies balsamea,BF,12,485105,5067420,45.760177808187926,-87.19153574998029,4.1,58.58866178
FBIC,Abies balsamea,BF,13,485263,5067195,45.7581560438734,-87.18949717380478,2.5,22.70537677
FBIC,Abies balsamea,BF,14,485276,5067357,45.75961443062856,-87.1893349444248,1.3,4.168607274
FBIC,Abies balsamea,BF,15,485387,5067613,45.76192095963067,-87.18791534551448,8.5,347.199261
FBIC,Abies balsamea,BF,16,485313,5067383,45.75984923561839,-87.18885995599913,4.2,63.06137024
FBIC,Abies balsamea,BF,17,485243,5067424,45.76021677188115,-87.18976133114657,6.8,175.8100355
FBIC,Abies balsamea,BF,18,485314,5067425,45.760227285231096,-87.1888483723928,2.2,17.1503066
FBIC,Abies balsamea,BF,19,485312,5067387,45.7598852170644,-87.18887293639017,3.3,32.21756704
FBIC,Abies balsamea,BF,23,485285,5067613,45.76191879485199,-87.1892270036297,3.3,46.25213023
FBIC,Abies balsamea,BF,24,485565,5067785,45.763472817010104,-87.18563150731396,1.7,9.511537274
FBIC,Abies balsamea,BF,25,485336,5067291,45.75902166188289,-87.18856141162999,14,1238.013594
KF,Acer rubrum,RM,1,635281,4691999,42.36850034696782,-85.35702683485746,11.9,1134.653724
KF,Acer rubrum,RM,2,635279,4691989,42.36841067121403,-85.35705346151825,7.9,439.8557857
KF,Acer rubrum,RM,3,635269,4692001,42.3685204397688,-85.35717204612563,20.7,4473.427324
KF,Acer rubrum,RM,4,635285,4691981,42.3683376081229,-85.35698249868395,4,82.20981292
KF,Acer rubrum,RM,5,636000,4691668,42.365395125922255,-85.34837624933836,13.6,1259.603202
KF,Acer rubrum,RM,6,635679,4692193,42.370177445314674,-85.35214944542506,12.3,1394.331499
KF,Acer rubrum,RM,7,635681,4692195,42.37019510094999,-85.35212469399895,2,12.45635815
KF,Acer rubrum,RM,8,635681,4692205,42.37028512447316,-85.35212234024391,2,13.04019471
KF,Acer rubrum,RM,9,635676,4692190,42.370150961851124,-85.35218657253822,12.2,1385.071179
KF,Acer rubrum,RM,10,635675,4692194,42.37018714579099,-85.3521977714147,9.5,706.968747
KF,Acer rubrum,RM,11,635676,4692191,42.370159964203864,-85.3521863371724,15.8,2088.690617
KF,Acer rubrum,RM,12,635694,4692186,42.37011181070582,-85.35196898814095,11.4,1185.172023
KF,Acer rubrum,RM,13,635690,4692193,42.37017552536884,-85.3520159017103,4.9,130.0260807
KF,Acer rubrum,RM,14,635675,4692192,42.370169141085476,-85.35219824214342,9.9,1008.419986
KF,Acer rubrum,RM,15,635661,4692194,42.37018958906237,-85.3523677361917,30.3,11151.33179
KF,Acer rubrum,RM,18,635930,4690996,42.35935778648396,-85.34938440642956,6.8,248.4288253
KF,Acer rubrum,RM,19,635285,4691985,42.36837361763194,-85.35698156001894,14.2,2137.479744
KF,Acer rubrum,RM,22,635502,4690960,42.35910839341572,-85.35458803996706,25.8,5115.363653
KF,Acer rubrum,RM,23,635807,4691406,42.36307024385297,-85.35078086129893,24.7,6705.110865
KF,Acer rubrum,RM,24,635842,4691414,42.363136148991146,-85.3503541131577,22,4867.21113
RF,Acer saccharum,SM,4,585534,4651066,42.0069692188864,-85.9670937069589,5.5,200.1939397
RF,Acer saccharum,SM,5,585785,4651045,42.00675279776827,-85.964066184172,17.7,4079.776313
RF,Acer saccharum,SM,6,585575,4651041,42.00673963325537,-85.9666023136817,7.2,436.4126408
