project,scientific.name,spp,tree,tree.no,spp1,dbh.in,azimuth,dist.ft,ht.ft
Kellogg Forest Pilot,Ulmus americana,AE,1,1,AE,1.6,,,14.5
Kellogg Forest Pilot,Ulmus americana,AE,1,2,BC,9,8,8,80.4
Kellogg Forest Pilot,Ulmus americana,AE,1,3,BC,12.5,44.2,15,
Kellogg Forest Pilot,Ulmus americana,AE,1,4,BC,15.3,55.3,11.4,
Kellogg Forest Pilot,Ulmus americana,AE,1,5,BC,13.3,154.1,14.1,91.1
Kellogg Forest Pilot,Ulmus americana,AE,1,6,BC,7.6,172.9,23.8,
Kellogg Forest Pilot,Ulmus americana,AE,1,7,SM,4.6,188,14.9,
Kellogg Forest Pilot,Ulmus americana,AE,1,8,AE,4.6,286.8,0.5,41
Kellogg Forest Pilot,Ulmus americana,AE,1,9,AE,12.3,288.5,1.4,77
Kellogg Forest Pilot,Ulmus americana,AE,1,10,JL,9.2,320.3,22.2,
Kellogg Forest Pilot,Ulmus americana,AE,2,1,AE,4.6,,,41
Kellogg Forest Pilot,Ulmus americana,AE,2,2,BC,9,12.6,7.8,80.4
Kellogg Forest Pilot,Ulmus americana,AE,2,3,BC,12.5,45.9,15.1,
Kellogg Forest Pilot,Ulmus americana,AE,2,4,BC,15.3,55.3,11.4,93.6
Kellogg Forest Pilot,Ulmus americana,AE,2,5,BC,13.3,152.3,14.3,91.1
Kellogg Forest Pilot,Ulmus americana,AE,2,6,BC,7.6,172.1,23.7,
Kellogg Forest Pilot,Ulmus americana,AE,2,7,SM,4.6,184.9,14.8,
Kellogg Forest Pilot,Ulmus americana,AE,2,8,AE,12.3,289.4,0.5,77
Kellogg Forest Pilot,Ulmus americana,AE,2,9,JL,15.3,301.3,23.9,
Kellogg Forest Pilot,Ulmus americana,AE,2,10,JL,9.2,322.2,21.6,
Kellogg Forest Pilot,Ulmus americana,AE,3,1,AE,6.5,,,63.9
Kellogg Forest Pilot,Ulmus americana,AE,3,2,BC,4.9,0.5,23,33.2
Kellogg Forest Pilot,Ulmus americana,AE,3,3,JL,12.7,9.7,20.2,
Kellogg Forest Pilot,Ulmus americana,AE,3,4,BC,10.5,65.8,18,
Kellogg Forest Pilot,Ulmus americana,AE,3,5,SM,8.2,79.4,3.4,
Kellogg Forest Pilot,Ulmus americana,AE,3,6,SM,14.3,84,5,77.2
Kellogg Forest Pilot,Ulmus americana,AE,3,7,SF,5.5,92.3,15.5,
Kellogg Forest Pilot,Ulmus americana,AE,3,8,BC,10.8,112.3,13.9,
Kellogg Forest Pilot,Ulmus americana,AE,3,9,BC,9.5,129.3,15,74.6
Kellogg Forest Pilot,Ulmus americana,AE,3,10,BC,8.5,154.8,14.8,
Kellogg Forest Pilot,Ulmus americana,AE,3,11,WP,8.2,210.7,13.7,
Kellogg Forest Pilot,Ulmus americana,AE,3,12,WA,4.5,228.4,10.5,31.9
Kellogg Forest Pilot,Ulmus americana,AE,3,13,BC,14.4,234.9,15.9,
Kellogg Forest Pilot,Ulmus americana,AE,3,14,JL,12.9,325.1,15.8,
Kellogg Forest Pilot,Ulmus americana,AE,3,15,JL,10.8,347.1,22.8,78.8
Kellogg Forest Pilot,Ulmus americana,AE,4,1,AE,10.1,,,81.6
Kellogg Forest Pilot,Ulmus americana,AE,4,2,JL,9.4,314,15.3,56.6
Kellogg Forest Pilot,Ulmus americana,AE,4,3,SM,5.4,69,17.7,
Kellogg Forest Pilot,Ulmus americana,AE,4,4,JL,13.3,88.1,20.2,
Kellogg Forest Pilot,Ulmus americana,AE,4,5,SM,5.8,90.9,16.1,44.5
Kellogg Forest Pilot,Ulmus americana,AE,4,6,SM,4.1,93.9,16.5,
Kellogg Forest Pilot,Ulmus americana,AE,4,7,SM,9.1,142,7.1,67.2
Kellogg Forest Pilot,Ulmus americana,AE,4,8,SM,7,226.8,16.9,
Kellogg Forest Pilot,Ulmus americana,AE,4,9,JL,14.2,229.5,23,
Kellogg Forest Pilot,Ulmus americana,AE,4,10,SM,8.2,286.8,22.9,
Kellogg Forest Pilot,Ulmus americana,AE,4,11,AE,16,294,1.8,73.3
Kellogg Forest Pilot,Ulmus americana,AE,5,1,AE,12.1,,,77
Kellogg Forest Pilot,Ulmus americana,AE,5,2,BC,9,16.2,8.2,80.4
Kellogg Forest Pilot,Ulmus americana,AE,5,3,BC,12.5,48.1,15.9,
Kellogg Forest Pilot,Ulmus americana,AE,5,4,BC,15.3,58.3,12.4,93.6
Kellogg Forest Pilot,Ulmus americana,AE,5,5,BC,13.3,147.8,14,91.1
Kellogg Forest Pilot,Ulmus americana,AE,5,6,BC,7.6,169.8,23.4,
Kellogg Forest Pilot,Ulmus americana,AE,5,7,SM,4.6,181.9,14.6,
Kellogg Forest Pilot,Ulmus americana,AE,5,8,JL,15.3,301.4,23.3,96.7
Kellogg Forest Pilot,Ulmus americana,AE,5,9,JL,9.2,322.5,21.1,
Kellogg Forest Pilot,Ulmus americana,AE,5,10,AE,4.6,97.8,0.5,41
Kellogg Forest Pilot,Ulmus americana,AE,6,1,AE,15.6,,,85.6
