project,scientific.name,spp,tree,date,loc,easting,northing,dbh.in,H.taped,R.Rating,F.Class,CrClass,Cwide,C90,Cdiam,Carea,CI,dFirstLiveBr.in,Ht.FirstLiveBr.ft,DLB.in,HtoLB.ft,st.sg.tree,st.sg.wood,st.sg.bark,dbh.sg.tree,dbh.sg.wood,dbh.sg.bark,br.sg.tree,br.sg.wood,br.sg.bark,DWdombark.lb,DWdomwood.lb,DW.to.bh.lb,DWbrbark.lb,DWbrwood.lb,DWlf.lb,sbr.DWlf.lb,DWsmbrwood.lb,DWsmbrlf.lb,DW.livebrwood.lb,DW.livebrbark.lb,DW.deadbrwood.lb,DW.deadbrbark.lb,DWmiscbrwood.lb,DWmiscbrlf.lb,DWtot.lb,DWtotWOleaf.lb,DW.tofbranch,DW.totbranch,DW.dom.above.fbranch.lb,DW.all.above.fbranch.lb,diam.at.first.branch,diam.at.first.branch2,DSH.cm,rot.index,MP,MS,BP,BS,LBT,MBT,MFT,group,spp.FIA,SPCD,Habitat,NOTES
Kellogg Forest Pilot,Ulmus americana,AE,1,7/21/2020,KF,634949,4691791,1.6,21,1,1,S,10.1,9.2,9.6,73.3,14.54492642,0.6,6.6,0.8,10.3,0.446686641,0.460188533,0.406494199,0.4535,0.4572,0.4359,0.321107005,0.306024557,0.384833691,0.738677174,3.160680669,1.57900552,0.261645169,0.651584444,0.164642336,0.144584977,0.022713962,0.020057358,0.457778531,0.182022351,0.193805912,0.079622819,0,0,4.999943753,4.835301418,2.23883231,1.100585911,1.660525532,2.761111443,1.5,1.5,4.9,0,0,0,0,0,0,0_0,0_0_0_0,H,AE,972,Rural,
Kellogg Forest Pilot,Ulmus americana,AE,2,7/15/2020,KF,634949,4691791,4.6,52.4,1,1,I,22.4,30.1,26.2,552.8,6.641611983,1.2,17.3,2.6,22.2,0.480971636,0.4779601,0.505399442,0.4707,0.4625,0.5484,0.453999547,0.480457046,0.37915588,9.025965703,61.41041023,16.42473066,4.411105782,17.02525674,2.470362137,1.862539718,0.768817877,0.60782242,17.02525674,4.411105782,0,0,0,0,95.11191846,92.64155632,48.83170279,24.67554253,21.60467314,46.28021567,3.6,3.1,15.5,0,1,0,0,0,0,0_0,1_0_0_0,H,AE,972,Rural,
Kellogg Forest Pilot,Ulmus americana,AE,3,8/12/2020,KF,634889,4691715,6.5,63.9,1,1,I,26,18.2,22.1,395.5,1.886037082,1,21.2,2.5,40,0.503466413,0.529948239,0.357073368,0.5341,0.5438,0.4508,0.531041358,0.546388973,0.484518164,18.77265488,154.0394705,34.58224364,6.032644821,22.9097577,5.750983592,3.12347946,9.040909091,2.627504132,22.9097577,6.032644821,0,0,0,0,216.5464206,210.795437,111.7690177,43.7342952,61.04310767,104.7774029,4.3,4.1,22.4,0,1,0,0,0,0,0_0,1_0_0_0,H,AE,972,Rural,
Kellogg Forest Pilot,Ulmus americana,AE,4,8/12/2020,KF,634944,4691799,10.1,81.6,1,1,C,36,22.4,29.2,706.8,1.361075553,4.5,37.5,4.5,37.5,0.516266782,0.526273099,0.433623866,0.5135,0.5211,0.4229,0.529455983,0.518730344,0.592063946,54.6314623,569.9008047,101.6422997,40.28174072,178.659667,16.30379433,13.88174386,2.567639416,2.422050472,173.9885152,39.01310299,4.671151825,1.268637724,0,0,862.3451085,846.0413142,498.0442872,237.8128415,126.4879798,364.3008213,6.9,6.6,35.6,0,1,1,0,0,0,0_0,1_1_0_0,H,AE,972,Rural,
Kellogg Forest Pilot,Ulmus americana,AE,5,8/12/2020,KF,634949,4691791,12.1,78.1,1,1,C,39.8,37.9,38.8,1186.1,1.239679471,1.8,32.2,5.7,36.1,0.479494054,0.482947711,0.347528263,0.4424,0.4534,0.3372,0.439229996,0.466375615,0.320083398,53.20176782,526.7360395,128.0550737,30.64928017,134.5565296,17.5014565,13.86566367,7.496470588,3.555294118,130.9702986,29.27326244,3.586230932,1.376017724,0.798022247,0.080498716,770.9395664,753.4381098,470.4690353,191.0017591,109.468772,300.4705311,7.6,7,41.1,0,1,1,1,0,1,1_0,1_1_1_0,H,AE,972,Rural,
Kellogg Forest Pilot,Ulmus americana,AE,6,8/10/2020,KF,634944,4691799,15.6,85.6,1,1,C,35,39,37,1078.4,0.732358163,5.6,51.3,6.4,56.2,0.551223447,0.566075125,0.401385175,1.1959,1.2505,0.4166,0.450428466,0.451334468,0.381940888,116.1177315,1583.452797,341.4442863,76.18437558,348.4595923,45.70094838,41.63718244,1.840237514,2.066328703,336.1681251,72.14481723,12.29146721,4.039558349,19.49215085,1.997437235,2191.247833,2145.546884,1543.954029,491.6773047,155.6164992,647.2938039,8.9,8.1,55,0,1,1,1,0,1,1_0,1_1_1_0,H,AE,972,Rural,
Asher Drain,Ulmus americana,AE,8,7/1/2020,AD,627934,4667881,9.7,57.6,1,1,I,10.5,10.3,10.4,85,2.48125837,2,12.8,4.5,29.1,0.505862616,0.527338995,0.385859976,0.5345,0.5402,0.4828,0.484160396,0.502467635,0.435856256,35.71287216,312.4319893,79.299261,25.95784025,100.5027194,12.71002404,11.07509327,5.618743344,1.634930777,99.68975347,25.70574293,0.812965968,0.252097321,0,0,492.9341885,480.2241645,180.6714989,144.7893271,167.4733626,312.2626896,7.6,6.7,33,0,1,1,0,0,0,0_0,1_1_0_0,H,AE,972,Urban,
Rural,Prunus serotina,BC,1,4/11/2016,RF,585738,4651773,28,108.3,,,C,45.3,43,44.1,1532,0.132320729,9,61.2,12.5,69.2,0.514218646,0.503409251,0.721411523,0.4716,0.4664,0.5432,0.590508364,0.57735122,0.739981273,563.0494246,6288.849928,564.3272924,222.6870821,1378.378409,0,0,0,0,1359.277259,221.5187773,19.1011499,1.168304758,6.949590795,0,8459.914435,8459.914435,5879.771603,1608.015082,972.1277495,2580.142832,18.9,16.8,105.6,0.039840154,1,1,1,1,1,1_1,1_1_1_1,H,BC,762,Rural,
Rural,Prunus serotina,BC,2,4/25/2016,RF,585489,4652087,26.5,97.2,,,C,56.9,52.6,54.8,2357.9,0.196572204,16.4,47.4,16.4,47.4,0.51770389,0.504539596,0.724789273,0.542,0.5289,0.7352,0.569595043,0.55276754,0.733594084,429.8830648,4458.651562,532.4172949,370.1044602,2598.191592,0,0,0,0,2598.191592,370.1044602,0,0,6.400220172,0,7863.230899,7863.230899,3975.1985,2974.696272,913.3361261,3888.032398,22.3,23,83.3,0.014636633,1,1,1,1,1,1_1,1_1_1_1,H,BC,762,Rural,
Rural,Prunus serotina,BC,3,6/6/2016,ASGA,590085,4719957,9.9,50.2,2,1,C,19.2,14.5,16.9,227.3,0.184640734,3,20,3,20,0.566621337,0.5549965,0.721007988,0.6044,0.5763,0.9824,0.531879789,0.530572962,0.567306453,50.92186544,367.2169846,78.28698422,25.26831507,90.03679627,16.06600148,14.28432441,3.678076606,1.710918561,83.44495465,24.59801502,6.591841616,0.670300046,0.526348608,0.070758517,553.7143881,537.6483866,298.7106638,135.575538,119.4281863,255.0037243,7.8,7.9,31.2,0,1,1,0,0,0,0_0,1_1_0_0,H,BC,762,Rural,
