loc,plot,tree.no,spp1,dbh.in
KF,1,1,AE,1.6
KF,1,2,BC,9
KF,1,3,BC,12.5
KF,1,4,BC,15.3
KF,1,5,BC,13.3
KF,1,6,BC,7.6
KF,1,7,SM,4.6
KF,1,8,AE,4.6
KF,1,9,AE,12.3
KF,2,1,AE,6.5
KF,2,2,BC,4.9
KF,2,4,BC,10.5
KF,2,5,SM,8.2
KF,2,6,SM,14.3
KF,2,8,BC,10.8
KF,2,9,BC,9.5
KF,2,10,BC,8.5
KF,2,11,WP,8.2
KF,2,13,BC,14.4
KF,3,1,AE,10.1
KF,3,3,SM,5.4
KF,3,5,SM,5.8
KF,3,6,SM,4.1
KF,3,7,SM,9.1
KF,3,8,SM,7
KF,3,10,SM,8.2
KF,3,11,AE,16
AD,4,1,AE,9.6
AD,4,2,HB,17.78
AD,4,3,AE,22.098
AD,4,4,AE,8.89
AD,4,5,AE,7.366
AD,4,6,AE,26.416
AD,4,7,SM,16.51
AD,4,8,AE,5.842
AD,4,9,AE,10.922
AD,4,10,AE,15.494
AD,4,11,HB,12.7
RF,5,1,BC,28
RF,5,3,RM,4.2
RF,5,4,WO,27
RF,5,5,RM,6.3
RF,5,6,RM,3.5
RF,6,1,BC,26.5
RF,6,2,RM,10.3
RF,6,3,RM,6.9
RF,6,4,RM,7
RF,6,6,AE,12.6
RF,6,7,HB,5.7
RF,6,8,RM,17.5
ASGA,7,1,BC,9.9
ASGA,7,2,BC,14
ASGA,7,3,BC,4.7
ASGA,7,4,BC,5
ASGA,8,1,BC,14
ASGA,8,2,TA,10.3
ASGA,8,4,BC,4.2
ASGA,8,5,BC,9.9
RF,9,1,BC,20.5
RF,9,3,AB,4.8
RF,9,4,AB,5.2
RF,9,5,RM,6.1
RF,9,8,RM,6.7
ASGA,10,1,BC,4.3
ASGA,10,2,TA,7.5
ASGA,10,3,TA,6.7
ASGA,10,4,TA,16.4
ASGA,10,5,TA,5.6
ASGA,10,6,TA,5.3
ASGA,10,7,TA,7.7
ASGA,10,8,TA,4.6
ASGA,10,9,RP,8.5
RF,11,1,BC,9.6
RF,11,2,BC,15.7
RF,11,3,AE,9.1
RF,11,4,SM,5.2
RF,11,5,AE,10.6
RF,11,6,AE,38.2
RF,11,7,SM,4.8
RF,11,8,SM,7.3
RF,11,9,AE,5.3
AL,12,1,BC,22.7
