loc,scientific.name,spp,tree,easting,northing,lat,lon,dbh.in,dwtot.lb
FBIC,Abies balsamea,BF,1,485322,5067280,45.7589223571981,-87.18874110000458,8.5,390.3092587
FBIC,Abies balsamea,BF,2,485339,5067288,45.75899472350894,-87.18852274451372,11.2,622.9287859
FBIC,Abies balsamea,BF,3,485313,5067269,45.75882315851969,-87.18885649433294,5.8,131.576393
FBIC,Abies balsamea,BF,4,485338,5067289,45.759003702968386,-87.18853563354834,10.2,643.7747138
FBIC,Abies balsamea,BF,6,485023,5067441,45.76036504983247,-87.19259083748166,5.4,98.25897458
FBIC,Abies balsamea,BF,7,485049,5067472,45.76064463375037,-87.19225746092593,16,1597.958788
FBIC,Abies balsamea,BF,8,485340,5067303,45.75912975487882,-87.18851034043082,7.2,247.5950019
FBIC,Abies balsamea,BF,9,485277,5067361,45.75965045463867,-87.18932220732327,8.4,404.962156
FBIC,Abies balsamea,BF,10,485170,5067423,45.76020620831508,-87.19070000752987,6.4,202.9786265
FBIC,Abies balsamea,BF,11,485326,5067380,45.759822509785366,-87.18869269905348,4.5,61.39310606
FBIC,Abies balsamea,BF,12,485105,5067420,45.760177808187926,-87.19153574998029,4.1,58.58866178
FBIC,Abies balsamea,BF,13,485263,5067195,45.7581560438734,-87.18949717380478,2.5,22.70537677
FBIC,Abies balsamea,BF,14,485276,5067357,45.75961443062856,-87.1893349444248,1.3,4.168607274
FBIC,Abies balsamea,BF,15,485387,5067613,45.76192095963067,-87.18791534551448,8.5,347.199261
FBIC,Abies balsamea,BF,16,485313,5067383,45.75984923561839,-87.18885995599913,4.2,63.06137024
FBIC,Abies balsamea,BF,17,485243,5067424,45.76021677188115,-87.18976133114657,6.8,175.8100355
FBIC,Abies balsamea,BF,18,485314,5067425,45.760227285231096,-87.1888483723928,2.2,17.1503066
FBIC,Abies balsamea,BF,19,485312,5067387,45.7598852170644,-87.18887293639017,3.3,32.21756704
FBIC,Abies balsamea,BF,23,485285,5067613,45.76191879485199,-87.1892270036297,3.3,46.25213023
FBIC,Abies balsamea,BF,24,485565,5067785,45.763472817010104,-87.18563150731396,1.7,9.511537274
FBIC,Abies balsamea,BF,25,485336,5067291,45.75902166188289,-87.18856141162999,14,1238.013594
RF,Acer nigrum,BM,1,585729,4650999,42.00634465976747,-85.96474904617465,26.4,9996.669094
RF,Acer nigrum,BM,2,585785,4651033,42.00664473558356,-85.96406793747438,19.4,4742.203905
RF,Acer nigrum,BM,3,585834,4650944,42.00583793330344,-85.96348932216318,8.2,231.6794536
RF,Acer nigrum,BM,4,585822,4650991,42.00626248513438,-85.96362733851662,1.6,14.48176846
KF,Acer platanoides,NM,1,635641,4690971,42.35918318793859,-85.35289824121476,2.5,21.35196785
KF,Acer platanoides,NM,2,635670,4690950,42.358989079473815,-85.35255117237932,4.6,96.91542593
EL,Acer rubrum,RM,1,707630,4733028,42.72168976096393,-84.46413626236848,8.3,339.240216
KF,Acer rubrum,RM,1,635281,4691999,42.36850034696782,-85.35702683485746,11.9,1134.653724
EL,Acer rubrum,RM,2,707391,4733054,42.721988245434815,-84.46704295638878,14.1,802.7042324
KF,Acer rubrum,RM,2,635279,4691989,42.36841067121403,-85.35705346151825,7.9,439.8557857
KF,Acer rubrum,RM,3,635269,4692001,42.3685204397688,-85.35717204612563,20.7,4473.427324
KF,Acer rubrum,RM,4,635285,4691981,42.3683376081229,-85.35698249868395,4,82.20981292
KF,Acer rubrum,RM,5,636000,4691668,42.365395125922255,-85.34837624933836,13.6,1259.603202
KF,Acer rubrum,RM,6,635679,4692193,42.370177445314674,-85.35214944542506,12.3,1394.331499
KF,Acer rubrum,RM,7,635681,4692195,42.37019510094999,-85.35212469399895,2,12.45635815
KF,Acer rubrum,RM,8,635681,4692205,42.37028512447316,-85.35212234024391,2,13.04019471
KF,Acer rubrum,RM,9,635676,4692190,42.370150961851124,-85.35218657253822,12.2,1385.071179
KF,Acer rubrum,RM,10,635675,4692194,42.37018714579099,-85.3521977714147,9.5,706.968747
KF,Acer rubrum,RM,11,635676,4692191,42.370159964203864,-85.3521863371724,15.8,2088.690617
KF,Acer rubrum,RM,12,635694,4692186,42.37011181070582,-85.35196898814095,11.4,1185.172023
KF,Acer rubrum,RM,13,635690,4692193,42.37017552536884,-85.3520159017103,4.9,130.0260807
KF,Acer rubrum,RM,14,635675,4692192,42.370169141085476,-85.35219824214342,9.9,1008.419986
KF,Acer rubrum,RM,15,635661,4692194,42.37018958906237,-85.3523677361917,30.3,11151.33179
